ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
100223,F,Y,N,1,482000,Working,Incomplete higher,Separated,Municipal apartment,-23026,-14661,1,1,0,1,Managers,3
100224,F,Y,N,3,72500,Pensioner,Lower secondary,Separated,Rented apartment,-14413,-13714,1,1,0,0,,4
100225,F,N,Y,0,333000,Working,Lower secondary,Widow,Municipal apartment,-24547,-11256,1,1,0,1,Drivers,1
100226,M,Y,Y,3,437500,State servant,Higher education,Married,With parents,-13315,-2067,1,0,1,0,Cleaning staff,5
100227,M,N,N,1,422000,Working,Secondary / secondary special,Separated,Office apartment,-20020,-9044,1,1,1,1,Laborers,3
100228,F,Y,Y,0,340000,Student,Academic degree,Single / not married,House / apartment,-10309,-12873,1,1,1,1,Drivers,2
100229,F,Y,Y,3,191000,State servant,Higher education,Widow,Office apartment,-20163,-635,1,1,1,0,Laborers,5
100230,F,Y,N,2,468500,Pensioner,Incomplete higher,Civil marriage,Municipal apartment,-10218,-14236,1,0,0,1,,4
100231,F,N,Y,2,146000,State servant,Higher education,Separated,Municipal apartment,-23924,-14208,1,1,0,0,Core staff,4
100232,F,Y,Y,4,138500,Commercial associate,Higher education,Single / not married,With parents,-8083,-7478,1,0,1,0,Drivers,6
100233,F,Y,Y,3,173500,Pensioner,Lower secondary,Widow,Municipal apartment,-12819,-14261,1,1,1,1,Managers,5
100234,F,Y,N,0,75000,Commercial associate,Academic degree,Married,With parents,-14376,-11103,1,0,1,1,IT staff,1
100235,F,Y,Y,0,357500,Working,Higher education,Civil marriage,Office apartment,-17009,-11677,1,1,1,1,Accountants,2
100236,M,N,N,2,396500,Student,Academic degree,Separated,Office apartment,-10352,-120,1,1,1,1,Cleaning staff,3
100237,M,N,N,3,377500,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-13172,-2456,1,0,0,1,Cleaning staff,5
100238,M,N,N,1,182500,State servant,Lower secondary,Separated,House / apartment,-13223,-5622,1,0,1,1,IT staff,3
100239,M,N,Y,1,291000,Commercial associate,Incomplete higher,Widow,With parents,-17998,-10722,1,0,0,1,Sales staff,3
100240,F,N,N,3,349500,Pensioner,Lower secondary,Single / not married,Municipal apartment,-8758,-14194,1,0,1,0,IT staff,4
100241,F,N,Y,3,495500,Commercial associate,Higher education,Married,Rented apartment,-20408,-9329,1,1,0,1,,4
100242,F,N,Y,0,210000,Working,Secondary / secondary special,Separated,Rented apartment,-13861,-12471,1,0,0,1,Core staff,1
100243,F,N,N,4,269500,State servant,Lower secondary,Single / not married,House / apartment,-24490,-3267,1,1,0,1,IT staff,5
100244,M,Y,Y,0,405000,Pensioner,Incomplete higher,Married,House / apartment,-19568,-8246,1,1,0,0,Laborers,2
100245,F,N,N,2,401500,Commercial associate,Incomplete higher,Separated,Rented apartment,-13174,-2701,1,1,0,0,Sales staff,3
100246,M,Y,Y,1,237500,Working,Lower secondary,Civil marriage,Office apartment,-8592,-9730,1,0,0,0,Laborers,2
100247,F,N,Y,3,330000,Pensioner,Lower secondary,Married,With parents,-7304,-4933,1,1,0,1,Cooking staff,4
100248,M,Y,N,3,108000,Working,Lower secondary,Married,Office apartment,-13545,-12746,1,1,0,1,,5
100249,M,Y,N,2,156000,State servant,Incomplete higher,Married,House / apartment,-7417,-11004,1,0,0,1,Managers,3
100250,M,Y,N,4,379500,Commercial associate,Lower secondary,Civil marriage,Rented apartment,-22213,-820,1,0,0,0,Drivers,6
100251,F,Y,Y,2,485500,Working,Secondary / secondary special,Married,With parents,-17769,-5857,1,1,1,0,Accountants,4
100252,M,N,N,1,283500,Pensioner,Lower secondary,Separated,Municipal apartment,-12465,-1852,1,0,0,0,Core staff,3
100253,F,N,Y,4,362500,State servant,Incomplete higher,Widow,House / apartment,-11281,-7914,1,1,0,1,Security staff,5
100254,F,N,Y,0,410500,Student,Academic degree,Widow,With parents,-18085,-8504,1,0,1,0,Security staff,2
100255,M,Y,Y,3,379000,Commercial associate,Academic degree,Separated,Municipal apartment,-12419,-1226,1,1,1,0,Accountants,5
100256,M,N,N,0,468000,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,-21683,-1442,1,1,1,1,Core staff,2
100257,M,N,N,0,68000,Student,Academic degree,Single / not married,House / apartment,-16981,-14583,1,0,1,1,Accountants,1
100258,F,N,N,1,416500,Pensioner,Lower secondary,Single / not married,House / apartment,-14266,-35,1,1,1,1,IT staff,3
100259,M,Y,N,0,121500,State servant,Secondary / secondary special,Civil marriage,Office apartment,-13419,-3072,1,0,1,0,Security staff,1
100260,M,N,Y,2,374000,Student,Secondary / secondary special,Separated,Municipal apartment,-23521,-2205,1,1,0,0,IT staff,4
100261,F,Y,Y,4,424000,Commercial associate,Secondary / secondary special,Separated,Office apartment,-17546,-8259,1,1,1,0,Drivers,6
100262,F,N,Y,2,120500,State servant,Academic degree,Widow,Rented apartment,-24950,-14101,1,1,0,0,Sales staff,4
100263,M,Y,N,2,413500,Working,Incomplete higher,Widow,Municipal apartment,-20679,-11046,1,1,1,0,IT staff,3
100264,F,Y,Y,0,393000,Working,Higher education,Civil marriage,With parents,-16391,-11196,1,1,0,0,,2
100265,M,N,N,1,102000,Student,Academic degree,Married,Office apartment,-19743,-3892,1,1,0,1,Medicine staff,3
100266,M,Y,N,2,153500,Student,Lower secondary,Married,Rented apartment,-24911,-12098,1,0,0,1,Security staff,3
100267,M,Y,Y,0,243000,Working,Lower secondary,Civil marriage,Office apartment,-15658,-2131,1,0,1,0,Accountants,2
100268,M,Y,N,1,355500,Working,Academic degree,Civil marriage,Municipal apartment,-18733,-1194,1,1,0,0,IT staff,2
100269,M,N,N,4,97000,Pensioner,Higher education,Married,Rented apartment,-17848,-5911,1,1,0,1,IT staff,5
100270,F,N,Y,0,378500,Student,Academic degree,Married,House / apartment,-17516,-6248,1,0,1,1,IT staff,2
100271,F,N,N,0,72000,Pensioner,Higher education,Civil marriage,Office apartment,-9698,-1572,1,0,0,0,Sales staff,1
100272,M,Y,N,3,381000,Working,Higher education,Single / not married,Municipal apartment,-17869,-620,1,0,0,0,Managers,5
100273,M,Y,N,4,258500,State servant,Lower secondary,Separated,Municipal apartment,-17367,-276,1,1,0,0,Cleaning staff,5
100274,M,Y,N,4,307000,Working,Incomplete higher,Civil marriage,Office apartment,-9834,-4612,1,1,1,1,Cleaning staff,5
100275,M,Y,Y,3,432000,State servant,Academic degree,Civil marriage,With parents,-16766,-11096,1,1,0,0,Core staff,4
100276,F,Y,N,0,157500,Pensioner,Higher education,Separated,Office apartment,-11667,-2637,1,0,0,1,Sales staff,1
100277,M,N,Y,1,198500,Working,Incomplete higher,Single / not married,With parents,-22964,-5420,1,1,0,0,Core staff,3
100278,M,Y,N,4,298500,State servant,Incomplete higher,Widow,Rented apartment,-11993,-9266,1,1,1,1,Managers,5
100279,M,Y,N,2,191500,Pensioner,Higher education,Civil marriage,Municipal apartment,-22166,-7296,1,1,1,1,IT staff,3
100280,M,N,Y,1,325500,Commercial associate,Incomplete higher,Single / not married,House / apartment,-7610,-13919,1,0,1,0,Laborers,3
100281,F,Y,N,4,250500,Commercial associate,Academic degree,Civil marriage,With parents,-22227,-8210,1,0,1,1,IT staff,5
100282,M,Y,N,1,131500,Commercial associate,Academic degree,Widow,With parents,-22843,-5878,1,0,0,1,Sales staff,2
100283,F,Y,Y,2,392000,Commercial associate,Academic degree,Civil marriage,Municipal apartment,-22390,-7448,1,0,0,1,Core staff,4
100284,M,N,N,2,237000,Student,Secondary / secondary special,Widow,Rented apartment,-19331,-14864,1,0,1,1,Accountants,4
100285,M,Y,N,3,134500,Commercial associate,Secondary / secondary special,Widow,Rented apartment,-13930,-2461,1,0,0,1,Cooking staff,4
100286,F,N,Y,1,296500,State servant,Lower secondary,Married,Office apartment,-12283,-10604,1,1,0,0,Laborers,2
100287,M,Y,Y,4,343000,Commercial associate,Secondary / secondary special,Married,Rented apartment,-12899,-8464,1,1,0,1,Core staff,5
100288,F,N,Y,3,162000,State servant,Academic degree,Married,Office apartment,-12959,-10210,1,1,0,1,Security staff,4
100289,F,N,Y,1,105500,Working,Higher education,Widow,Office apartment,-20755,-13541,1,0,0,0,Security staff,2
100290,M,Y,N,4,387500,Commercial associate,Academic degree,Widow,House / apartment,-21139,-8553,1,1,1,0,,6
100291,F,N,N,1,351500,Student,Secondary / secondary special,Separated,With parents,-15340,-7817,1,0,0,1,Cooking staff,3
100292,M,Y,Y,2,345500,Student,Secondary / secondary special,Widow,House / apartment,-19288,-10724,1,0,1,1,Accountants,3
100293,F,N,N,1,487500,Student,Lower secondary,Widow,Rented apartment,-16029,-11151,1,1,0,1,IT staff,3
100294,F,N,N,1,207000,Student,Incomplete higher,Separated,With parents,-10902,-12252,1,0,1,0,Core staff,2
100295,F,N,Y,4,132000,State servant,Secondary / secondary special,Single / not married,With parents,-22455,-9834,1,1,0,0,Drivers,5
100296,M,Y,N,2,255000,Student,Academic degree,Civil marriage,Office apartment,-8882,-12674,1,0,1,1,Laborers,3
100297,F,Y,Y,4,451000,Student,Academic degree,Widow,With parents,-12553,-11043,1,0,1,0,Cleaning staff,5
100298,M,N,N,1,230500,State servant,Lower secondary,Widow,With parents,-23965,-251,1,0,0,1,,3
100299,F,Y,Y,2,282500,State servant,Academic degree,Single / not married,Rented apartment,-12735,-6670,1,0,0,1,Accountants,3
100300,F,N,N,4,243000,Student,Lower secondary,Married,Rented apartment,-22035,-11167,1,1,0,1,Core staff,6
100301,F,Y,Y,0,459500,Pensioner,Lower secondary,Civil marriage,Office apartment,-24552,-159,1,1,0,1,Core staff,2
100302,M,Y,N,2,210500,Pensioner,Higher education,Widow,Rented apartment,-12989,-12225,1,0,1,0,Sales staff,3
100303,M,Y,Y,2,477000,Commercial associate,Academic degree,Civil marriage,With parents,-10495,-1964,1,0,1,0,IT staff,3
100304,F,N,N,3,344000,Pensioner,Lower secondary,Married,Office apartment,-16183,-6518,1,0,0,0,IT staff,5
100305,M,N,N,3,490500,Commercial associate,Lower secondary,Single / not married,Office apartment,-22075,-5171,1,0,0,0,Medicine staff,4
100306,F,N,Y,2,330500,Pensioner,Higher education,Civil marriage,Municipal apartment,-18242,-5995,1,0,1,1,Sales staff,4
100307,F,N,N,2,280500,Commercial associate,Academic degree,Married,Office apartment,-14489,-13339,1,0,1,0,IT staff,4
100308,M,Y,Y,3,292000,Working,Higher education,Separated,Municipal apartment,-11406,-14635,1,1,1,1,Drivers,4
100309,M,Y,Y,3,160000,Pensioner,Lower secondary,Single / not married,Municipal apartment,-17966,-4256,1,1,1,1,Accountants,4
100310,M,N,Y,3,345000,Student,Academic degree,Married,Rented apartment,-18636,-5326,1,1,1,0,Medicine staff,5
100311,M,Y,N,3,265500,Student,Academic degree,Separated,House / apartment,-9592,-2654,1,1,0,1,Accountants,5
100312,F,N,N,2,449500,Pensioner,Academic degree,Widow,Municipal apartment,-20565,-2741,1,0,0,0,,3
100313,M,Y,Y,2,253000,Working,Secondary / secondary special,Single / not married,Municipal apartment,-24971,-881,1,0,1,0,Core staff,4
100314,M,Y,N,4,208000,Commercial associate,Higher education,Civil marriage,Municipal apartment,-11142,-2150,1,0,0,0,Cleaning staff,6
100315,F,N,N,2,330500,State servant,Higher education,Widow,With parents,-21960,-10339,1,1,1,1,Security staff,3
100316,F,N,N,0,261000,Pensioner,Higher education,Civil marriage,House / apartment,-7003,-8574,1,0,1,1,Security staff,1
100317,F,N,Y,3,442000,State servant,Incomplete higher,Widow,With parents,-7236,-8981,1,1,0,1,IT staff,5
100318,M,Y,N,3,474000,State servant,Higher education,Civil marriage,House / apartment,-20835,-10245,1,0,1,1,Cleaning staff,5
100319,M,Y,Y,3,119500,Pensioner,Secondary / secondary special,Separated,Office apartment,-21836,-4458,1,1,0,1,Laborers,4
100320,M,Y,Y,0,194000,Pensioner,Higher education,Separated,House / apartment,-14628,-1477,1,0,0,1,Sales staff,2
100321,F,N,N,3,287000,Working,Incomplete higher,Single / not married,With parents,-8836,-4366,1,1,0,1,Managers,4
100322,F,Y,Y,2,443000,Commercial associate,Lower secondary,Separated,With parents,-8098,-3263,1,1,0,0,Security staff,4
100323,F,Y,Y,2,431000,Student,Academic degree,Single / not married,Rented apartment,-22768,-10461,1,1,0,1,Laborers,3
100324,M,N,N,0,57500,Commercial associate,Incomplete higher,Widow,House / apartment,-19969,-12929,1,0,0,0,Cooking staff,2
100325,M,N,Y,4,177000,Commercial associate,Lower secondary,Single / not married,Office apartment,-18089,-12444,1,0,0,1,Cleaning staff,5
100326,M,Y,N,4,169000,Pensioner,Academic degree,Civil marriage,Municipal apartment,-13323,-349,1,1,1,0,Drivers,5
100327,F,N,N,3,147000,Student,Higher education,Widow,Rented apartment,-17606,-11999,1,1,1,0,Core staff,4
100328,F,N,N,3,282000,Working,Academic degree,Separated,With parents,-7613,-10153,1,1,0,1,,4
100329,F,Y,N,4,442000,Student,Higher education,Widow,Rented apartment,-17570,-6714,1,1,0,0,IT staff,5
100330,M,Y,Y,0,153000,Working,Lower secondary,Married,House / apartment,-8042,-9355,1,1,1,1,Laborers,2
100331,M,Y,Y,1,385500,State servant,Secondary / secondary special,Separated,House / apartment,-18826,-9142,1,1,1,0,Cooking staff,3
100332,M,Y,N,4,89500,Commercial associate,Academic degree,Single / not married,House / apartment,-14569,-8710,1,1,0,0,IT staff,5
100333,M,N,Y,4,442000,Student,Incomplete higher,Separated,Municipal apartment,-10411,-2733,1,0,1,1,Cleaning staff,5
100334,F,N,N,4,331500,Pensioner,Incomplete higher,Separated,Municipal apartment,-17598,-9968,1,0,0,1,IT staff,6
100335,F,N,N,2,50000,Working,Incomplete higher,Widow,House / apartment,-23961,-2213,1,1,0,1,Sales staff,3
100336,M,N,Y,2,98000,Working,Lower secondary,Civil marriage,With parents,-11535,-4341,1,1,0,0,Drivers,4
100337,F,Y,Y,0,420000,Pensioner,Lower secondary,Married,Municipal apartment,-10124,-9752,1,1,0,1,Core staff,1
100338,F,N,N,2,494000,Working,Higher education,Widow,House / apartment,-19533,-886,1,1,0,1,IT staff,3
100339,M,Y,Y,2,394500,State servant,Lower secondary,Widow,Office apartment,-23538,-1475,1,0,1,1,Medicine staff,3
100340,F,Y,N,1,342500,Working,Academic degree,Separated,Rented apartment,-9787,-6529,1,1,0,0,Security staff,2
100341,F,Y,Y,3,174000,Working,Incomplete higher,Separated,Rented apartment,-9935,-1843,1,1,1,1,Accountants,4
100342,F,Y,N,2,136500,Pensioner,Academic degree,Separated,Office apartment,-11778,-7216,1,0,0,0,Cleaning staff,4
100343,M,Y,Y,1,174000,Student,Higher education,Civil marriage,House / apartment,-18248,-11367,1,0,1,1,Security staff,2
100344,M,Y,Y,2,329500,Student,Incomplete higher,Widow,Municipal apartment,-11631,-11388,1,0,1,0,Drivers,3
100345,F,Y,N,0,77000,State servant,Secondary / secondary special,Single / not married,Municipal apartment,-15890,-10862,1,1,0,0,Drivers,2
100346,F,Y,N,1,298000,Student,Academic degree,Single / not married,With parents,-13516,-8202,1,1,0,0,Sales staff,3
100347,F,N,Y,2,59000,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-14739,-8212,1,1,0,1,Medicine staff,3
100348,F,Y,Y,4,224500,State servant,Higher education,Single / not married,Municipal apartment,-24062,-11108,1,0,1,0,Cooking staff,5
100349,F,N,N,3,327500,Commercial associate,Higher education,Married,Office apartment,-24739,-11207,1,0,0,1,,4
100350,M,Y,N,3,84500,Student,Academic degree,Single / not married,With parents,-17407,-13754,1,0,0,1,Medicine staff,5
100351,F,N,Y,2,448500,Commercial associate,Secondary / secondary special,Married,With parents,-7858,-12491,1,1,0,0,Sales staff,3
100352,M,N,Y,2,307000,Student,Lower secondary,Civil marriage,With parents,-19696,-8051,1,1,0,0,Sales staff,3
100353,F,Y,N,0,261000,Commercial associate,Higher education,Married,House / apartment,-12802,-7197,1,1,1,1,Sales staff,2
100354,M,N,N,3,251500,Student,Academic degree,Widow,Office apartment,-24210,-10508,1,0,0,1,Security staff,4
100355,F,Y,N,1,314000,Working,Higher education,Civil marriage,Municipal apartment,-20042,-14489,1,1,1,1,Managers,3
100356,M,Y,N,2,474500,State servant,Secondary / secondary special,Widow,House / apartment,-12890,-12758,1,0,1,1,Accountants,4
100357,M,N,Y,0,282500,Working,Incomplete higher,Civil marriage,With parents,-11048,-1494,1,0,1,1,Core staff,2
100358,M,N,N,4,72000,Commercial associate,Incomplete higher,Widow,With parents,-12312,-14234,1,0,0,0,Medicine staff,6
100359,F,N,Y,2,110000,Commercial associate,Higher education,Single / not married,Office apartment,-15293,-200,1,1,1,1,IT staff,3
100360,F,Y,Y,4,351000,State servant,Lower secondary,Separated,Municipal apartment,-9601,-9850,1,0,0,1,Cooking staff,5
100361,M,Y,Y,0,384000,Pensioner,Secondary / secondary special,Married,House / apartment,-16779,-5424,1,0,0,0,Medicine staff,1
100362,F,Y,N,1,433500,Student,Incomplete higher,Single / not married,House / apartment,-16807,-5289,1,1,1,0,Medicine staff,2
100363,F,Y,Y,2,405500,Pensioner,Incomplete higher,Widow,Municipal apartment,-24191,-3438,1,0,0,0,Cooking staff,3
100364,F,N,N,3,182500,Student,Academic degree,Widow,Rented apartment,-11250,-10064,1,1,1,1,Managers,4
100365,M,Y,Y,2,62000,State servant,Secondary / secondary special,Married,Office apartment,-20586,-6783,1,0,1,1,IT staff,3
100366,M,N,N,0,454500,Working,Incomplete higher,Civil marriage,Office apartment,-17614,-12567,1,0,0,1,Accountants,2
100367,M,Y,Y,4,219000,Pensioner,Lower secondary,Separated,House / apartment,-11448,-7888,1,0,1,1,Security staff,6
100368,F,N,Y,0,156500,Student,Incomplete higher,Civil marriage,House / apartment,-11892,-4595,1,0,1,1,Cleaning staff,1
100369,F,Y,Y,4,492500,Pensioner,Incomplete higher,Single / not married,Rented apartment,-20561,-1422,1,1,0,1,Security staff,6
100370,F,Y,Y,1,241500,Working,Higher education,Single / not married,Municipal apartment,-23580,-408,1,1,0,0,Accountants,3
100371,F,N,Y,4,443500,Working,Academic degree,Married,With parents,-8197,-7526,1,1,0,0,Drivers,5
100372,M,N,N,4,73500,Working,Academic degree,Civil marriage,House / apartment,-17228,-10466,1,0,1,0,Sales staff,6
100373,F,N,Y,2,189500,Commercial associate,Higher education,Civil marriage,House / apartment,-7499,-10206,1,0,0,1,IT staff,4
100374,M,N,Y,2,137500,Working,Incomplete higher,Widow,Rented apartment,-24713,-7268,1,0,0,0,Security staff,3
100375,F,Y,Y,0,268000,State servant,Higher education,Widow,Office apartment,-21609,-10097,1,1,1,1,Sales staff,1
100376,M,Y,N,3,99500,State servant,Incomplete higher,Separated,Municipal apartment,-14592,-3666,1,0,1,1,Medicine staff,4
100377,F,N,N,2,65000,Working,Lower secondary,Single / not married,Rented apartment,-22684,-7556,1,0,1,1,Cooking staff,3
100378,M,N,Y,4,216500,Student,Secondary / secondary special,Civil marriage,Office apartment,-22105,-6566,1,1,0,0,IT staff,5
100379,F,Y,N,3,156500,Student,Lower secondary,Separated,Office apartment,-18213,-8921,1,0,0,0,,5
100380,F,N,Y,0,470500,State servant,Higher education,Civil marriage,Municipal apartment,-9280,-9801,1,0,1,1,Security staff,1
100381,M,Y,Y,0,437500,Commercial associate,Higher education,Separated,Office apartment,-16551,-6389,1,1,0,0,Cleaning staff,2
100382,F,N,N,2,95500,Student,Secondary / secondary special,Widow,Office apartment,-20244,-13887,1,0,1,0,Accountants,3
100383,F,Y,N,0,493000,Working,Higher education,Separated,Office apartment,-19919,-10243,1,1,1,1,Medicine staff,2
100384,M,Y,N,4,121000,Commercial associate,Academic degree,Separated,Rented apartment,-20671,-2527,1,1,0,0,Laborers,5
100385,M,N,N,0,119500,Working,Higher education,Separated,Municipal apartment,-20949,-10211,1,0,1,1,IT staff,2
100386,F,Y,Y,3,267000,Student,Secondary / secondary special,Widow,Municipal apartment,-14757,-11667,1,1,1,1,Laborers,4
100387,F,N,Y,4,347000,State servant,Secondary / secondary special,Married,Office apartment,-16156,-7617,1,0,0,0,Security staff,5
100388,F,Y,N,4,323500,Working,Lower secondary,Separated,Office apartment,-22375,-9403,1,1,1,1,Drivers,6
100389,M,N,N,1,81000,State servant,Academic degree,Married,Office apartment,-8691,-10753,1,1,0,1,Security staff,2
100390,M,N,N,1,117500,Student,Incomplete higher,Civil marriage,Rented apartment,-7465,-12147,1,0,0,0,Cleaning staff,3
100391,M,N,Y,2,298000,Commercial associate,Academic degree,Single / not married,Rented apartment,-9765,-2376,1,0,1,1,Medicine staff,3
100392,M,Y,N,3,77500,Pensioner,Secondary / secondary special,Single / not married,With parents,-22204,-6533,1,1,1,1,,4
100393,F,N,N,3,124000,Student,Lower secondary,Single / not married,Rented apartment,-21706,-6258,1,1,0,0,IT staff,5
100394,F,N,N,3,186500,Working,Incomplete higher,Widow,Municipal apartment,-22109,-12667,1,0,0,1,Cleaning staff,4
100395,M,Y,Y,2,56000,State servant,Secondary / secondary special,Widow,House / apartment,-21612,-5759,1,0,1,1,Sales staff,3
100396,M,Y,Y,0,356500,Working,Secondary / secondary special,Single / not married,Office apartment,-11256,-6159,1,0,0,0,Drivers,2
100397,M,N,N,3,443500,State servant,Incomplete higher,Civil marriage,With parents,-9424,-4543,1,0,1,1,Accountants,4
100398,F,Y,N,2,85500,State servant,Higher education,Widow,Municipal apartment,-12847,-10575,1,1,0,0,IT staff,4
100399,M,N,N,1,102500,Working,Secondary / secondary special,Single / not married,Office apartment,-15211,-12734,1,1,0,1,Managers,2
100400,F,N,Y,0,408000,Pensioner,Lower secondary,Widow,House / apartment,-23888,-11593,1,1,1,1,Medicine staff,1
100401,M,Y,N,4,402500,State servant,Secondary / secondary special,Widow,Office apartment,-18761,-5463,1,1,1,0,Cleaning staff,5
100402,F,Y,N,2,439000,Pensioner,Higher education,Married,Office apartment,-8288,-6294,1,0,1,1,Core staff,4
100403,M,N,Y,3,121500,Working,Higher education,Single / not married,Office apartment,-14814,-8015,1,1,0,1,Security staff,5
100404,M,N,Y,0,222500,Working,Lower secondary,Single / not married,With parents,-24141,-7509,1,0,0,0,Laborers,1
100405,M,N,Y,3,174000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17070,-13446,1,0,1,0,Cooking staff,4
100406,M,N,Y,0,82000,Commercial associate,Lower secondary,Civil marriage,Municipal apartment,-17624,-1979,1,0,1,0,Laborers,1
100407,M,Y,N,2,122000,State servant,Higher education,Civil marriage,Office apartment,-12406,-7187,1,0,0,0,Core staff,4
100408,M,N,Y,1,53000,Working,Higher education,Single / not married,Office apartment,-16297,-6819,1,1,0,0,Managers,3
100409,F,N,Y,4,139000,Student,Secondary / secondary special,Widow,With parents,-23380,-10027,1,0,1,1,Medicine staff,5
100410,M,Y,Y,4,321000,Working,Academic degree,Civil marriage,Office apartment,-23631,-3592,1,1,0,1,Laborers,5
100411,M,N,N,0,140000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-16340,-3433,1,1,1,1,Cooking staff,2
100412,M,Y,Y,0,130500,Working,Lower secondary,Widow,House / apartment,-9321,-14664,1,0,1,1,Medicine staff,1
100413,M,Y,N,2,166500,Working,Higher education,Separated,With parents,-19305,-14604,1,0,0,1,Cooking staff,4
100414,F,Y,Y,0,362000,State servant,Higher education,Separated,Rented apartment,-11469,-7499,1,0,1,1,Sales staff,2
100415,M,Y,N,1,119500,Working,Lower secondary,Separated,Municipal apartment,-12609,-12457,1,1,0,1,Cooking staff,2
100416,M,Y,Y,4,260500,Student,Lower secondary,Married,Office apartment,-22515,-13713,1,1,1,0,,6
100417,M,N,N,1,346500,Commercial associate,Academic degree,Married,Office apartment,-7166,-6844,1,0,0,1,,2
100418,F,N,Y,3,281500,State servant,Higher education,Single / not married,Office apartment,-7407,-11356,1,1,0,0,Accountants,5
100419,M,Y,N,1,392500,Pensioner,Higher education,Separated,Office apartment,-7799,-7452,1,1,0,1,Managers,3
100420,M,Y,N,3,403500,Pensioner,Academic degree,Single / not married,Rented apartment,-20955,-12335,1,1,0,0,Cooking staff,5
100421,F,Y,Y,0,246000,Pensioner,Lower secondary,Widow,House / apartment,-18979,-6003,1,0,0,0,Managers,2
100422,M,N,Y,1,435500,Commercial associate,Incomplete higher,Civil marriage,Rented apartment,-23500,-11144,1,1,1,0,Core staff,3
100423,F,N,Y,2,290500,Student,Academic degree,Civil marriage,Municipal apartment,-19063,-13105,1,0,0,1,Core staff,3
100424,M,N,Y,3,105500,Commercial associate,Incomplete higher,Single / not married,With parents,-23263,-2465,1,0,0,1,Medicine staff,4
100425,F,N,N,3,427500,Working,Incomplete higher,Married,House / apartment,-7722,-14283,1,0,1,1,Cooking staff,5
100426,F,N,N,2,205500,Student,Higher education,Civil marriage,With parents,-15519,-3715,1,1,1,1,Laborers,3
100427,F,N,Y,2,366500,Commercial associate,Academic degree,Civil marriage,With parents,-12746,-13751,1,0,0,0,Core staff,3
100428,M,N,N,2,239000,Commercial associate,Higher education,Widow,House / apartment,-17385,-5633,1,0,1,1,IT staff,3
100429,F,Y,Y,4,257000,State servant,Higher education,Separated,Rented apartment,-12113,-70,1,1,1,1,Drivers,5
100430,F,N,Y,4,424500,State servant,Secondary / secondary special,Married,Office apartment,-10829,-5047,1,0,1,0,Security staff,6
100431,F,Y,Y,0,348500,Student,Higher education,Civil marriage,With parents,-7738,-1369,1,1,0,1,Sales staff,2
100432,M,N,N,2,125500,State servant,Incomplete higher,Separated,Rented apartment,-7399,-4663,1,1,1,1,Security staff,3
100433,F,N,N,1,197500,Commercial associate,Lower secondary,Separated,With parents,-9820,-2353,1,0,1,1,IT staff,3
100434,F,Y,Y,0,259500,Pensioner,Lower secondary,Married,Office apartment,-22142,-11636,1,0,0,0,Medicine staff,2
100435,F,Y,N,4,477000,Student,Incomplete higher,Separated,Office apartment,-22186,-3678,1,0,0,0,Drivers,6
100436,M,N,N,3,141500,State servant,Higher education,Single / not married,House / apartment,-16083,-8078,1,0,1,1,Cooking staff,5
100437,F,Y,N,2,312000,Student,Secondary / secondary special,Civil marriage,With parents,-8917,-2394,1,1,1,0,Accountants,3
100438,F,N,N,0,375500,Pensioner,Secondary / secondary special,Civil marriage,Rented apartment,-24354,-10468,1,0,0,0,Core staff,1
100439,F,N,N,4,188500,Pensioner,Secondary / secondary special,Widow,Office apartment,-18522,-13489,1,0,0,0,IT staff,6
100440,F,N,N,2,133000,Working,Higher education,Married,Office apartment,-14245,-13624,1,0,0,1,Security staff,3
100441,M,Y,N,0,228000,Pensioner,Incomplete higher,Married,Municipal apartment,-24141,-12510,1,1,0,1,Laborers,1
100442,M,Y,Y,1,207000,Commercial associate,Higher education,Married,House / apartment,-20920,-11318,1,0,0,0,Security staff,3
100443,M,Y,Y,0,456000,Student,Academic degree,Single / not married,Municipal apartment,-10896,-14885,1,1,0,0,Drivers,1
100444,M,Y,Y,0,144500,Pensioner,Secondary / secondary special,Single / not married,With parents,-16089,-9498,1,1,1,0,IT staff,1
100445,M,Y,Y,4,320500,Commercial associate,Higher education,Civil marriage,With parents,-24600,-70,1,0,0,1,Accountants,5
100446,M,Y,N,3,244000,State servant,Higher education,Widow,With parents,-20355,-1848,1,1,0,1,Core staff,4
100447,F,N,Y,3,92000,Pensioner,Lower secondary,Single / not married,Municipal apartment,-16293,-7486,1,1,1,0,IT staff,5
100448,F,Y,Y,2,480500,State servant,Incomplete higher,Married,House / apartment,-23110,-11011,1,0,1,1,IT staff,3
